Using device: cuda
[DavisDatasetP13D] input pairs: 30056
[DavisDatasetP13D] kept pairs : 28696
[DavisDatasetP13D] missing counts: {'drug_1d': 0, 'drug_2d': 0, 'protein_1d': 0, 'protein_3d': 1360}
TOTAL SIZE: 28696
TRAIN SIZE: 22956
VAL SIZE: 5740
SPLIT JSON: data/splits/davis_fixed_split_size2.json
MODEL: drug_1d + protein_1d + protein_3d + softclip(drug-protein) + pcl(protein1d-protein3d)

EPOCH 1/30
  STEP 100/11478 | TOTAL_LOSS=0.658329 | REG_LOSS=0.516758 | SOFTCLIP_LOSS=0.696045 | PCL_LOSS=0.719657 | MEAN_GATE=0.5108 | MEAN_VALID_PER_ROW=2.00 | MEAN_VALID_OFFDIAG=1.00 | BATCH_RMSE=0.718859
  STEP 200/11478 | TOTAL_LOSS=0.391250 | REG_LOSS=0.251826 | SOFTCLIP_LOSS=0.702926 | PCL_LOSS=0.691323 | MEAN_GATE=0.5152 | MEAN_VALID_PER_ROW=2.00 | MEAN_VALID_OFFDIAG=1.00 | BATCH_RMSE=0.501822
  STEP 300/11478 | TOTAL_LOSS=0.197194 | REG_LOSS=0.080002 | SOFTCLIP_LOSS=0.394477 | PCL_LOSS=0.777441 | MEAN_GATE=0.5129 | MEAN_VALID_PER_ROW=1.50 | MEAN_VALID_OFFDIAG=0.50 | BATCH_RMSE=0.282846
  STEP 400/11478 | TOTAL_LOSS=3.025485 | REG_LOSS=2.909239 | SOFTCLIP_LOSS=0.401336 | PCL_LOSS=0.761123 | MEAN_GATE=0.5086 | MEAN_VALID_PER_ROW=1.50 | MEAN_VALID_OFFDIAG=0.50 | BATCH_RMSE=1.705649
  STEP 500/11478 | TOTAL_LOSS=2.340970 | REG_LOSS=2.239777 | SOFTCLIP_LOSS=0.352010 | PCL_LOSS=0.659926 | MEAN_GATE=0.5105 | MEAN_VALID_PER_ROW=1.50 | MEAN_VALID_OFFDIAG=0.50 | BATCH_RMSE=1.496588
  STEP 600/11478 | TOTAL_LOSS=0.505663 | REG_LOSS=0.364319 | SOFTCLIP_LOSS=0.686311 | PCL_LOSS=0.727132 | MEAN_GATE=0.5053 | MEAN_VALID_PER_ROW=2.00 | MEAN_VALID_OFFDIAG=1.00 | BATCH_RMSE=0.603588
  STEP 700/11478 | TOTAL_LOSS=0.634180 | REG_LOSS=0.493542 | SOFTCLIP_LOSS=0.685270 | PCL_LOSS=0.721109 | MEAN_GATE=0.5048 | MEAN_VALID_PER_ROW=2.00 | MEAN_VALID_OFFDIAG=1.00 | BATCH_RMSE=0.702526
  STEP 800/11478 | TOTAL_LOSS=0.796343 | REG_LOSS=0.648159 | SOFTCLIP_LOSS=0.746640 | PCL_LOSS=0.735202 | MEAN_GATE=0.5057 | MEAN_VALID_PER_ROW=2.00 | MEAN_VALID_OFFDIAG=1.00 | BATCH_RMSE=0.805083
  STEP 900/11478 | TOTAL_LOSS=0.190742 | REG_LOSS=0.053503 | SOFTCLIP_LOSS=0.702531 | PCL_LOSS=0.669858 | MEAN_GATE=0.5048 | MEAN_VALID_PER_ROW=2.00 | MEAN_VALID_OFFDIAG=1.00 | BATCH_RMSE=0.231307
  STEP 1000/11478 | TOTAL_LOSS=0.165466 | REG_LOSS=0.026844 | SOFTCLIP_LOSS=0.631912 | PCL_LOSS=0.754313 | MEAN_GATE=0.5050 | MEAN_VALID_PER_ROW=2.00 | MEAN_VALID_OFFDIAG=1.00 | BATCH_RMSE=0.163841
  STEP 1100/11478 | TOTAL_LOSS=0.224061 | REG_LOSS=0.085663 | SOFTCLIP_LOSS=0.710592 | PCL_LOSS=0.673384 | MEAN_GATE=0.5041 | MEAN_VALID_PER_ROW=2.00 | MEAN_VALID_OFFDIAG=1.00 | BATCH_RMSE=0.292683
